MagX,MagY,MagZ
-124,-458,-314
-118,-476,-304
-109,-475,-305
-119,-460,-316
-136,-429,-334
-143,-429,-328
-124,-460,-307
-111,-472,-306
-98,-472,-304
-58,-475,-317
-55,-479,-317
-89,-460,-324
-110,-459,-315
-115,-451,-322
-113,-452,-319
-105,-471,-304
-116,-470,-305
-138,-460,-299
-134,-464,-294
-130,-476,-286
-128,-473,-292
-119,-476,-296
-121,-471,-295
-121,-478,-294
-131,-482,-277
-132,-480,-284
-133,-479,-288
-130,-480,-289
-131,-478,-294
-138,-474,-297
-141,-477,-295
-142,-474,-293
-146,-480,-286
-140,-483,-286
-139,-489,-283
-141,-489,-284
-155,-491,-271
-167,-485,-264
-179,-485,-261
-179,-482,-259
-178,-488,-257
-169,-494,-256
-162,-494,-259
-158,-498,-263
-158,-495,-266
-155,-501,-262
-160,-492,-262
-162,-492,-267
-158,-490,-271
-156,-485,-271
-151,-487,-277
-159,-486,-278
-148,-485,-279
-148,-485,-283
-150,-486,-284
-153,-484,-284
-153,-482,-283
-163,-475,-284
-163,-473,-286
-156,-474,-285
-152,-472,-289
-160,-465,-293
-163,-462,-290
-174,-452,-294
-176,-455,-298
-176,-450,-297
-181,-447,-298
-185,-447,-300
-180,-445,-300
-180,-445,-300
-185,-444,-302
-185,-448,-301
-183,-444,-300
-183,-445,-299
-184,-445,-305
-181,-442,-304
-185,-440,-303
-185,-441,-304
-184,-440,-304
-182,-438,-304
-184,-440,-304
-182,-439,-307
-184,-440,-304
-183,-440,-308
-182,-439,-304
-184,-438,-306
-175,-433,-317
-175,-424,-323
-176,-424,-326
-187,-411,-331
-193,-403,-335
-195,-399,-336
-203,-397,-334
-207,-390,-334
-222,-381,-329
-241,-369,-320
-279,-341,-304
-308,-336,-280
-329,-337,-246
-340,-339,-228
-366,-334,-181
-391,-311,-153
-409,-277,-139
-425,-223,-147
-431,-183,-153
-440,-92,-168
-418,-21,-218
-371,-11,-299
-316,-63,-366
-291,-105,-387
-252,-215,-391
-217,-330,-364
-178,-402,-332
-128,-447,-319
-106,-456,-323
-76,-452,-343
-78,-425,-360
-105,-400,-372
-175,-371,-358
-203,-352,-355
-241,-315,-352
-288,-252,-344
-329,-177,-330
-347,-114,-319
-354,-87,-322
-352,-53,-320
-349,-46,-327
-336,-37,-339
-326,-13,-350
-320,-1,-359
-294,26,-378
-257,29,-403
-221,50,-424
-196,81,-432
-178,98,-435
-150,126,-440
-117,147,-446
-76,144,-455
-57,146,-459
-50,157,-457
-21,162,-458
9,169,-461
29,178,-456
40,194,-444
51,205,-446
61,216,-435
70,216,-437
70,218,-437
73,214,-439
81,208,-440
89,223,-429
95,215,-432
106,214,-433
108,199,-440
107,192,-444
112,191,-441
127,182,-446
145,162,-448
148,152,-452
133,137,-461
108,140,-470
34,133,-477
5,137,-475
-3,146,-469
-14,146,-467
-17,145,-470
-21,132,-471
-25,110,-479
-35,98,-482
-45,101,-478
-57,102,-476
-80,100,-474
-102,91,-469
-104,93,-467
-82,71,-481
-66,54,-487
-19,21,-501
28,-1,-509
73,-6,-503
128,-26,-502
153,-48,-497
185,-90,-484
204,-125,-478
214,-167,-468
220,-203,-456
215,-218,-455
210,-243,-453
203,-254,-453
211,-238,-449
225,-204,-452
213,-179,-462
188,-119,-481
140,-65,-500
78,-9,-503
15,25,-500
-10,30,-498
-59,19,-496
-112,-4,-480
-152,-39,-469
-173,-64,-455
-188,-82,-448
-193,-116,-442
-197,-153,-429
-196,-201,-419
-212,-236,-398
-218,-251,-383
-206,-287,-372
-198,-319,-366
-188,-341,-362
-172,-355,-367
-167,-366,-367
-139,-392,-366
-89,-431,-367
-56,-438,-375
-32,-439,-379
1,-451,-377
45,-460,-370
111,-468,-353
137,-470,-338
138,-461,-348
126,-438,-374
134,-408,-396
148,-378,-411
165,-365,-417
178,-358,-418
186,-351,-422
200,-325,-427
213,-298,-434
220,-266,-443
229,-236,-449
231,-219,-449
224,-197,-457
226,-179,-458
225,-175,-461
225,-185,-459
220,-196,-457
208,-222,-459
201,-261,-450
185,-304,-440
156,-341,-431
145,-362,-425
103,-397,-412
52,-426,-397
-18,-441,-378
-101,-433,-362
-141,-412,-362
-216,-366,-354
-266,-293,-352
-289,-217,-360
-292,-133,-376
-289,-98,-380
-282,-23,-386
-268,40,-387
-235,92,-394
-166,120,-432
-119,123,-446
-58,149,-457
36,156,-459
52,159,-462
-49,173,-447
-112,182,-422
-193,114,-417
-226,32,-419
-245,-45,-416
-250,-129,-402
-258,-163,-393
-250,-240,-375
-246,-281,-360
-236,-310,-352
-217,-339,-351
-209,-357,-349
-182,-392,-342
-150,-425,-336
-113,-449,-340
-83,-459,-344
-73,-461,-350
-41,-452,-367
-14,-444,-378
13,-433,-388
56,-423,-393
71,-420,-397
100,-398,-409
125,-374,-418
157,-352,-425
180,-330,-431
208,-282,-440
211,-268,-445
211,-243,-453
213,-220,-459
212,-201,-463
207,-182,-472
201,-170,-475
188,-145,-482
170,-110,-488
144,-74,-496
