t,ax,ay,az,gx,gy,gz,p_x,p_y,p_z
0.0,0.10737065522525825,0.21467309856518718,-9.785818181924773,0.0015427123465716055,-0.0009634411081499346,0.00033424683273404823,20.0,0.0,0.0
0.01,0.05762643145501675,0.1711453182665937,-9.747161836899524,7.170650151424834e-05,-0.00043296419732362503,0.10409265866203513,19.99998903377389,0.020943947195996772,0.004188787142438748
0.02,0.06375243630668177,0.23650596905650384,-9.776790300720224,-0.0007601897858808912,0.00032125703950075773,0.10429653403662961,19.999956135107585,0.04188787142438748,0.008377555910807761
0.03,0.0734739396139007,0.19350527441823404,-9.806136516772888,-0.0004223018366521857,-0.0009625882024202168,0.10657451706256303,19.999901304037163,0.06283174971759126,0.0125662879311179
0.04,0.0964072950527545,0.21822009071374485,-9.793394495300335,-1.1706198522975022e-05,-0.0001714890957627825,0.10649300114917679,19.999824540622754,0.0837755591080776,0.016754964829541225
0.05,0.07434660659386198,0.2197338640039275,-9.769422921824722,-0.0003477301128582661,-0.00014201106976716442,0.10705562823579287,19.999725844948536,0.10471927662839162,0.020943568232491588
0.06,0.07762190019899105,0.15998229602779582,-9.781096089983063,0.0006545882598539277,0.0009737606770991428,0.10499929157870931,19.999605217122742,0.125662879311179,0.02513207976670521
0.07,0.07772726650053971,0.21917497618426188,-9.790787187658196,-3.014895554014947e-05,-0.0008970298894460223,0.10405409820917322,19.999462657277657,0.14660634418921162,0.02932048105932133
0.08,0.06893148851041858,0.18382569596036946,-9.780016222458118,0.0007015459880177633,0.0013803872403973737,0.10569214894437176,19.999298165569613,0.16754964829541225,0.03350875373796272
0.09,0.07193851216924417,0.2059710176908978,-9.777531048349097,-0.0008711793876964135,0.0006362947953281905,0.10626975053232586,19.999111742178997,0.1884927686628801,0.037696879430816344
0.1,0.055975418932451684,0.1886821107637843,-9.774886767019519,-0.0002061102479502605,-0.00205786813910396,0.10558659956908306,19.998903387310243,0.20943568232491588,0.04188483976671392
0.11,0.09205497828011162,0.1754601563966993,-9.772375897215863,0.001604670866471966,-0.002115501634850505,0.10570263830092033,19.99867310119184,0.23037836631504682,0.04607261637521246
0.12,0.08079422948537505,0.20707609231764001,-9.790571207254766,0.0005296582474977784,-0.00021562909131378575,0.10480368278221197,19.99842088407632,0.2513207976670521,0.05026019088667495
0.13,0.09895755635618342,0.183802858899677,-9.757748759108708,0.0007102603876587477,0.0003125257779813253,0.1074149059559224,19.99814673624028,0.2722629534149882,0.05444754493235084
0.14,0.08131854975633017,0.2168283194682879,-9.776801508339997,0.0017509419830815083,-0.0007749342646049227,0.10823831632478954,19.997850657984348,0.2932048105932133,0.05863466014445667
0.15,0.08524937416780391,0.19889612160910997,-9.794042863603865,-0.0012173802740949773,-0.0009575500580416498,0.10637461742749296,19.99753264963321,0.31414634623641347,0.06282151815625657
0.16,0.0769482002344779,0.1775609501985878,-9.769995438030262,0.0008583015773050478,0.0005711924347861947,0.10657203613775433,19.997192711535607,0.3350875373796272,0.06700810060214298
0.17,0.08719957636061898,0.22319963258927283,-9.758115000911268,0.0009489720206156381,-0.0008278118524693776,0.1062775886645866,19.99683084406432,0.35602836105827085,0.07119438911771699
0.18,0.08950524293362078,0.16830266634679827,-9.786678521443479,0.0013865526646254177,-0.0004487664138193577,0.1044406880300547,19.99644704761618,0.37696879430816344,0.07538036533986907
0.19,0.1186571792665587,0.21330494389053675,-9.817787825214658,0.00048409191036251966,-0.001175563617371592,0.10637080107827349,19.99604132261207,0.3979088141655528,0.07956601090685958
0.2,0.06627750024586436,0.18762876332865291,-9.742019738880321,0.0007027205352760281,-0.0017755163985775494,0.10643619634112077,19.99561366949691,0.4188483976671392,0.08375130745839926
0.21,0.08465374654928998,0.2162579599071737,-9.795913303684085,0.0002381804691587896,-0.0037565083395173426,0.1044938760916591,19.99516408873968,0.4397875218501021,0.0879362366357298
0.22,0.10460132841119224,0.17211568547006872,-9.754154133800016,0.0003078120675083615,-0.0014975288847839672,0.10598038039237172,19.9946925808334,0.4607261637521246,0.0921207800817044
0.23,0.10749508307403427,0.1761449147077898,-9.734801014155492,-0.001654530357912169,-0.0006685291895904989,0.10610666045383409,19.994199146295138,0.4816643004114185,0.09630491944086828
0.24,0.08291395037317788,0.18711130538066983,-9.759514230275908,0.0006048253999312223,0.0002953238933441016,0.10614805717083883,19.993683785666,0.5026019088667495,0.1004886363595391
0.25,0.10132465033433036,0.18920640344696216,-9.766607866087835,9.541277222185318e-05,-0.0007359566944521563,0.10661721704017858,19.993146499511145,0.523538966157463,0.10467191248588766
0.26,0.08225397349276234,0.19850467650678258,-9.775652917159867,0.0008927838300678148,-0.001337163135035303,0.10761079656885375,19.992587288419774,0.5444754493235084,0.1088547294700182
0.27,0.07552310142479557,0.1832301275028345,-9.776119910219785,-0.00037943569002579097,0.00045550455822456447,0.10537141488305034,19.992006153005132,0.5654113354054651,0.11303706896404905
0.28,0.0806648671106044,0.19110492015673622,-9.787100672207414,0.0005297404079475851,-0.0019685168527985566,0.10411103300088824,19.991403093904502,0.5863466014445666,0.11721891262219299
0.29,0.07538274523763003,0.18126187155633308,-9.778094169958734,9.200959800227313e-06,-0.00019836327696112836,0.10469124998503017,19.99077811177921,0.6072812244827273,0.12140024210083779
0.3,0.08024361837735422,0.20163472667455937,-9.775814800288588,-0.00047508765052822733,-0.0004972377176896157,0.10601643925006367,19.990131207314633,0.6282151815625657,0.12558103905862672
0.31,0.11955738639549783,0.18528675765660854,-9.794604906190962,-0.0003015241125372295,-0.0026462914295273666,0.10499270442879916,19.98946238122017,0.6491484497274318,0.12976128515653892
0.32,0.05779031086539887,0.21136014090882824,-9.804259085812344,0.0021295388210565156,0.0006564044370743216,0.10504922627064825,19.988771634229284,0.6700810060214297,0.13394096205796976
0.33,0.07585972869370522,0.2025316051589981,-9.786900133332884,0.0009210784452414396,-0.001591550551285951,0.10537596266797813,19.98805896709946,0.6910128274894455,0.1381200514288116
0.34,0.08239914662389979,0.18669165705965668,-9.74691935388112,0.00041381612986003983,0.0006544786813796415,0.10558598857501655,19.98732438061222,0.7119438911771698,0.14229853493753378
0.35000000000000003,0.056454277158083606,0.215453050459653,-9.756818426934208,-0.0014604746160847308,-0.0017087474201888221,0.10347937495710223,19.986567875573126,0.7328741741311255,0.14647639425526338
0.36,0.04168257526168677,0.2006906609360455,-9.770348372663891,0.00026560452016311686,-0.0025935030607083824,0.10542934926841174,19.985789452811783,0.7538036533986907,0.15065361105586542
0.37,0.07449301256869757,0.2209740050167493,-9.79778809611348,0.000802279554971995,-0.001057104851895541,0.10472549074269173,19.984989113181832,0.7747323060281254,0.1548301670160234
0.38,0.06174958010828086,0.2062185934316162,-9.780364942586832,7.717218201135892e-05,8.678108221134859e-05,0.10627587500488898,19.984166857560936,0.7956601090685957,0.15900604381531952
0.39,0.1086404446714085,0.19702656821659342,-9.766631762555956,0.0006091910445238579,0.0025506088448390496,0.10663807909240745,19.9833226868508,0.8165870395702,0.16318122313631508
0.4,0.06280696328409105,0.18044424068468692,-9.74446591295058,0.001179631064485678,-0.0005370550357376719,0.10699830629830094,19.98245660197717,0.8375130745839926,0.167355686664631
0.41000000000000003,0.05822351960622241,0.17448720974800647,-9.759727900983124,0.0022074926808098826,-0.0019284884568350623,0.10608131257121294,19.981568603889798,0.8584381911620107,0.1715294160890278
0.42,0.08114168473597706,0.20120681747642866,-9.783075226488902,-0.0006095424084069574,-0.0011074220928468125,0.10627365167948512,19.980658693562493,0.879362366357298,0.17570239310148633
0.43,0.062477816000971395,0.21369143535866747,-9.79360556219307,-0.0015067533254079226,-0.002159094838757156,0.10556639995559042,19.979726871993083,0.9002855772239311,0.17987459939728784
0.44,0.0626909986429607,0.203295388350431,-9.795592212038438,-8.655976756797256e-05,0.00047399913645405,0.10494130226220379,19.978773140203426,0.9212078008170441,0.1840460166750943
0.45,0.08726709678671848,0.1983542320517443,-9.771004692945235,-0.00030581132931519514,-0.00044668567867981693,0.10536243743637147,19.9777974992394,0.9421290141928531,0.18821662663702862
0.46,0.08361289048126928,0.19406455635797398,-9.772675962178319,0.002373568162653858,0.0003370658834816506,0.10519204811850455,19.976799950170918,0.9630491944086828,0.19238641098875517
0.47000000000000003,0.07609036989773674,0.23608143307515977,-9.771979127295019,7.900149126215607e-05,0.0002944251254368267,0.10330690143014153,19.975780494091914,0.9839683185229903,0.19655535143955968
0.48,0.08837475657605974,0.24803616085543684,-9.774925996209328,0.0005464732168194296,-0.0009950420248766652,0.1046681510858821,19.974739132120348,1.004886363595391,0.20072342970242976
0.49,0.09646755766085258,0.1924899626409162,-9.78400490682971,-0.0006805218456541829,-0.0009806609684837994,0.10589532956475341,19.973675865398203,1.0258033066866838,0.20489062749413492
0.5,0.060238468830180844,0.17786511431106494,-9.81422509210245,0.0017944595210258952,0.00011730484936260785,0.10546263233562513,19.972590695091476,1.0467191248588765,0.20905692653530691
0.51,0.0853313823271144,0.20730360014468135,-9.794501869115882,0.0007699350346408536,0.0013442402266720674,0.1068637098897588,19.971483622390195,1.0676337951752095,0.21322230855051982
0.52,0.04186009106141552,0.2334852483738594,-9.78189765604744,-0.0001283876551000566,-0.0015506174342770317,0.10386354285645472,19.970354648508398,1.088547294700182,0.2173867552683702
0.53,0.07051490044265545,0.1729002864759716,-9.783697767413383,2.568042339806556e-05,-0.003236167600744984,0.1054642718346112,19.96920377468414,1.1094596004995783,0.22155024842155738
0.54,0.1271701411127557,0.2042170372793227,-9.778546578864473,0.0002744324188109861,-0.00034195736402928766,0.1053740959124268,19.9680310021795,1.1303706896404906,0.22571276974696336
0.55,0.07059920342030801,0.23318080490881254,-9.831888690384755,0.0013900516416901505,0.0007052375479920581,0.10344507701591116,19.966836332280565,1.1512805391913457,0.22987430098573322
0.56,0.09440827719962891,0.22860049546009106,-9.764481346243844,-0.0008305423667890463,-0.0010662131597027943,0.10600801732269154,19.96561976629744,1.17218912622193,0.2340348238833549
0.5700000000000001,0.06847039602265557,0.226425518880799,-9.80058036903502,0.0009144506955794833,5.074531380928112e-05,0.10520914103966704,19.964381305564235,1.1930964278034142,0.2381943201897395
0.58,0.06159933166811106,0.17513725834261404,-9.810134825197792,0.0009045504859658178,-0.0018235716702875093,0.1072735868582259,19.963120951439073,1.214002421008378,0.2423527716593011
0.59,0.07492751738691139,0.2254430271757118,-9.776761529447981,0.00044887733083160254,-0.0009075430770384339,0.10546188726762017,19.961838705304093,1.2349070829108375,0.2465101600510373
0.6,0.07604521366556083,0.2103957184466366,-9.789886664165971,-0.00047960935374972264,-0.00034880253129969754,0.10454044202196322,19.960534568565432,1.2558103905862672,0.25066646712860846
0.61,0.1089823757969243,0.2237985841159672,-9.81595195402745,-0.0009807880896990392,-0.0011701747214258734,0.10554500443060581,19.959208542653233,1.2767123211116278,0.2548216746604184
0.62,0.05720461118117036,0.17654556203076427,-9.798695763535614,0.0013524021506983238,-0.0014955500960354003,0.10815115509596512,19.957860629021646,1.2976128515653893,0.2589757644196939
0.63,0.12686725961191436,0.20172703399161576,-9.756237693797356,-0.00040429825504119344,-0.0005819311237604999,0.10728958618973207,19.95649082914883,1.3185119590275571,0.263128718184565
0.64,0.08809686844023036,0.17231433890344555,-9.793809187025992,5.1351842468192745e-05,-0.0006220466336494066,0.10613955523415648,19.95509914453693,1.3394096205796977,0.2672805177381446
0.65,0.09233494519811078,0.2129698841918437,-9.780713355730288,-0.0013619800727565868,-0.00011867276741123656,0.1057266792340478,19.953685576712104,1.3603058133049633,0.27143114486860875
0.66,0.07621872431542707,0.20444890900688029,-9.760589411680753,-0.0002169084585094016,-0.00045290787433504464,0.10505678474559635,19.952250127224506,1.3812005142881159,0.27558058136927616
0.67,0.07191000041965688,0.1951276318696062,-9.750459260077278,0.0004956940344632084,0.0004822078072130889,0.10403341054295367,19.950792797648273,1.4020937006155545,0.2797288090386882
0.68,0.12162110173419752,0.1967351430034147,-9.788352724663623,0.001752681915599014,0.0010291500814651358,0.10499625217113855,19.949313589581553,1.4229853493753377,0.28387580968068876
0.6900000000000001,0.07494438814129475,0.2087446941048185,-9.748477934044667,-0.0006990960656307512,0.00043306637119832833,0.10530504692698084,19.947812504646475,1.4438754376572118,0.28802156510450433
0.7000000000000001,0.08141670402596803,0.25323583950254436,-9.792287777784692,-0.00023164756782658726,-0.0011751134023872223,0.10496360825497812,19.94628954448916,1.4647639425526338,0.29216605712482324
0.71,0.06458345550917556,0.21685841983506085,-9.775516994719279,-0.0012163978621463868,0.0009947156517387324,0.10731501055166155,19.94474471077973,1.4856508411547962,0.2963092675618758
0.72,0.07208350960519777,0.18830220389914987,-9.807205437238668,-0.0004314956319543755,-0.0005865840494746884,0.10731389213054113,19.94317800521228,1.506536110558654,0.30045117824151407
0.73,0.06582822616057746,0.22522033830730315,-9.766025108385248,0.002146316051600801,2.9990477968218853e-05,0.10515998946249223,19.94158942950489,1.5274197278609492,0.3045917709952914
0.74,0.10325579187527752,0.2173811705099559,-9.783048333849978,0.00044642938728187186,0.0006519446608585263,0.10470246319004589,19.939978985399634,1.548301670160234,0.3087310276605422
0.75,0.04841079222206875,0.21940038905325157,-9.76684009969817,0.002463155285889521,-0.0008630566374162807,0.10573855421567319,19.938346674662558,1.5691819145568988,0.31286893008046174
0.76,0.0666743543768135,0.2084274283060905,-9.75832106851828,-0.0007265290492196915,-0.00042298108554362173,0.10481930212242851,19.936692499083694,1.5900604381531953,0.3170054601041854
0.77,0.06449502135534918,0.2422359747850346,-9.80879835022408,-0.0018987234309449429,-0.00011651284346840687,0.10501736253149163,19.935016460477048,1.6109372180532622,0.3211405995868688
0.78,0.08859673232634198,0.20269874740903585,-9.742948882954781,-0.000769999325441038,-0.00208291351967513,0.10482759633031988,19.933318560680597,1.631812231363151,0.32527433038976716
0.79,0.0739442856638921,0.2270971423088228,-9.773071136130039,0.0007569339573627136,1.1520814997691294e-05,0.10596735774040036,19.9315988015563,1.6526854551908499,0.32940663438031476
0.8,0.06205467990761358,0.24084007578591177,-9.780772368783136,-0.0011304626031045646,-0.00043088392338659,0.10483874194346911,19.929857184990087,1.6735568666463099,0.33353749343220457
0.81,0.04389981206460005,0.22009761449390816,-9.764297400105487,0.000725642735731484,-0.001526742547702335,0.10547184027075823,19.928093712891847,1.6944264428414688,0.33766688942546774
0.8200000000000001,0.07973995098441086,0.16412216699843768,-9.784999178749496,-0.00038164894030700723,-0.0015621412818778292,0.10523845444160132,19.92630838719545,1.715294160890278,0.3417948042465533
0.8300000000000001,0.07676105775991955,0.19208746543363112,-9.766135450921862,0.0006939411173459879,0.0003340791780480528,0.10615481942365318,19.92450120985872,1.7361599979087259,0.3459212197884072
0.84,0.11028306178711839,0.20905257154119283,-9.793170658288796,-0.00018334640784408275,-0.0008819864633736487,0.1059437450787509,19.92267218286345,1.7570239310148632,0.35004611795055207
0.85,0.07631859189658803,0.2075630930912441,-9.767915644836577,-0.000721974209327353,-0.0008195755105180532,0.10385103912510665,19.92082130821539,1.77788593732883,0.35416948063916653
0.86,0.08004209967017778,0.22617375837962256,-9.746551598475564,-0.00015784303746873077,0.0005156267793936012,0.10548096873137063,19.918948587944257,1.7987459939728785,0.35829128976716457
0.87,0.06303570635727736,0.21321741934432786,-9.770392543993667,0.0005616235910167285,-0.0011139439895683759,0.10484799228648208,19.917054024103713,1.8196040780713982,0.36241152725427467
0.88,0.09851624653431572,0.17057691255508592,-9.78756505339861,-0.000818690123776149,-0.0018589755078354834,0.10668015803705287,19.915137618771382,1.840460166750943,0.36653017502711954
0.89,0.09545972689038879,0.1955650636592234,-9.811491532433166,-0.00012701991093470638,0.0009357411447039278,0.10636942514716051,19.913199374048837,1.8613142371402538,0.37064721501929493
