t,mx,my,mz
0.0,5.239957855202064,-22.12712333781409,-41.420517139615605
0.02,5.185644211271783,-22.14777529065764,-41.717074952834
0.04,5.139691372524311,-21.935054983258134,-42.689780604231544
0.06,5.126664221009451,-21.557452806656368,-41.6798146922048
0.08,5.082309369430654,-22.331589601966797,-42.67183306411199
0.1,5.056535980305349,-21.803422040540564,-41.74928171388356
0.12,5.066906856109062,-22.01865803467833,-41.90014541712428
0.14,4.99706569663517,-21.85726047597486,-42.28561379947598
0.16,4.966691914537119,-21.785356198447193,-41.25417600413887
0.18,4.853139562204492,-22.420261392405347,-41.85383308972377
0.2,4.851681700228526,-21.844949594868485,-41.47928659229783
0.22,4.721872147909717,-21.763738209508173,-42.109121585635876
0.24,4.721009766068557,-21.774375053687947,-41.90331712353197
0.26,4.732558386065271,-22.248833539143288,-41.48243720394625
0.28,4.616189712746782,-21.755154588668773,-41.643786781117356
0.3,4.494104609067351,-22.261394086343863,-41.6553477965988
0.32,4.637294510049464,-22.392122589258058,-41.99107494974912
0.34,4.5243130535344935,-22.026483690593682,-43.022463585625616
0.36,4.4290479886177305,-21.911234908420994,-41.65761328670457
0.38,4.379280803956158,-22.36625082124544,-41.68944873602428
0.4,4.348777946030534,-22.364915893629707,-41.78967606515016
0.42,4.246307114378756,-22.415959779404336,-42.1254389013709
0.44,4.271130284864373,-21.852789892441628,-42.105981171158064
0.46,4.24311655794995,-22.30010470169421,-41.64579315362184
0.48,4.200672226835014,-22.211355961592055,-41.99195101533807
0.5,4.101042145625146,-21.955955187121,-41.693500918241625
0.52,4.111727853253107,-21.840202218781737,-42.21776917822557
0.54,4.004253088134379,-22.606447407829908,-42.61057752382333
0.56,3.91428744710798,-22.522744068829052,-42.1346011688035
0.58,3.9528127410696725,-21.9270952410212,-41.624591692427956
0.6,3.8615441592076203,-22.4947809240231,-42.254527088878824
0.62,3.806614241764065,-22.327669888770508,-41.771457474240385
0.64,3.826462470435397,-22.082908074839818,-42.03048366858378
0.66,3.729896569045339,-22.4659856497643,-41.67534401599599
0.68,3.671025076892872,-22.065130852886842,-42.20661206049218
0.7000000000000001,3.6766915648688623,-22.238973347022494,-41.102659805916446
0.72,3.5571821651731526,-22.391026555814815,-42.28629217377476
0.74,3.565014772818923,-22.190409828291916,-41.65435766134805
0.76,3.557743647489768,-22.32240550090873,-41.87852655578125
0.78,3.408934013507465,-22.40466396908516,-42.45658395228759
0.8,3.398841881916871,-22.200963658304637,-41.90627048149925
0.8200000000000001,3.4147255300165207,-22.418884296072175,-42.07466110017306
0.84,3.3946979437448257,-22.622915321003127,-41.96040397805541
0.86,3.2806823023430924,-22.38429884931578,-41.627058466907656
0.88,3.229061349758815,-22.57139963156557,-42.32701116946826
0.9,3.1763295516578616,-22.492550378531007,-42.47120973738976
0.92,3.1724775321460426,-22.371657260470137,-41.576631570753314
0.9400000000000001,3.0585274164765726,-22.313034986024647,-41.64661130381898
0.96,2.9870479841106565,-22.609463681986476,-42.361865094533286
0.98,2.992953978242037,-22.427805973867194,-41.76644124736407
1.0,2.9818997009698047,-22.48095640032035,-41.813321738886934
1.02,2.916137862857104,-22.132419244275034,-41.440230095820226
1.04,2.897444121186396,-22.558154208612432,-42.248886435238965
1.06,2.831238264019772,-22.171789212229772,-42.95868568718372
1.08,2.7423010254175693,-22.58490735720062,-41.623117263156786
1.1,2.7047009823505777,-22.09570348122036,-41.888068897582706
1.12,2.7196693290500216,-22.19282086299244,-42.08596148932845
1.1400000000000001,2.6492411112212872,-22.34494870974022,-42.38861933675594
1.16,2.589480156736227,-22.540860921654605,-42.49170969101779
1.18,2.54827058784773,-22.535502241095898,-41.809987583881345
