# x, y, z, x_dot, y_dot, z_dot, phi, theta, psi, p, q, r
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00012,0.00038,0.00701,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00001,0.00028,0.00034,0.02100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00007,0.00029,0.00055,0.03508,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00018,0.00033,0.00162,0.04924,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00001,0.00035,0.00104,0.00209,0.06283,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00001,0.00002,0.00057,0.00166,0.00204,0.07646,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00001,0.00002,0.00085,0.00105,0.00129,0.09144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00002,0.00003,0.00119,-0.00007,0.00004,0.10628,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00002,0.00003,0.00158,-0.00075,-0.00054,0.12001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00002,0.00003,0.00204,-0.00072,-0.00035,0.13397,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00001,0.00003,0.00255,-0.00115,-0.00054,0.14801,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00001,0.00003,0.00311,-0.00186,-0.00109,0.16212,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00003,0.00373,-0.00228,-0.00125,0.17627,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00000,0.00002,0.00441,-0.00284,-0.00057,0.19005,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00001,0.00002,0.00514,-0.00319,0.00020,0.20370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00003,0.00002,0.00593,-0.00332,0.00116,0.21720,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00004,0.00002,0.00677,-0.00262,0.00244,0.23132,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00005,0.00003,0.00767,-0.00155,0.00260,0.24593,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00006,0.00004,0.00862,-0.00167,0.00214,0.26007,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00007,0.00005,0.00963,-0.00206,0.00234,0.27413,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00007,0.00005,0.01070,-0.00157,0.00295,0.28863,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00008,0.00007,0.01183,-0.00093,0.00230,0.30331,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00009,0.00008,0.01301,-0.00116,0.00158,0.31814,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00009,0.00008,0.01425,-0.00146,0.00173,0.33274,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00009,0.00009,0.01555,-0.00097,0.00235,0.34589,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00010,0.00010,0.01691,-0.00029,0.00274,0.35900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00010,0.00011,0.01832,-0.00002,0.00262,0.37312,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00010,0.00012,0.01979,0.00036,0.00251,0.38701,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00010,0.00013,0.02131,0.00074,0.00277,0.40070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00010,0.00014,0.02288,0.00122,0.00301,0.41436,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00010,0.00015,0.02451,0.00199,0.00266,0.42777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00009,0.00016,0.02620,0.00229,0.00318,0.44145,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00008,0.00017,0.02793,0.00213,0.00355,0.45564,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00007,0.00019,0.02973,0.00183,0.00359,0.46988,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00006,0.00020,0.03158,0.00198,0.00378,0.48431,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00006,0.00022,0.03349,0.00178,0.00312,0.49866,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
